BRCA1,STAT1
SETDB1,STAT1
RXRA,STAT1
TRADD,STAT1
ARRB1,STAT1
PML,STAT1
HDAC1,STAT1
CREB1,STAT3
STAT3,STAT3
FOS,STAT3
ATF2,STAT3
EZH2,STAT3
MTA1,STAT3
HIF1A,STAT3
NFKB1,STAT3
SETDB1,STAT3
CD44,STAT3
RELA,STAT3
HDAC1,STAT3
RB1,STAT3
PML,STAT3
CAV1,STAT3
CCND1,STAT3
DAXX,STAT3
P21,STAT3
CREB1,TGFB1
NFKB1,TGFB1
STAT3,TGFB1
HIF1A,TGFB1
FOS,TGFB1
ATF2,TGFB1
PPARD,TGFB1
RELA,TGFB1
REL,TGFB1
AR,TGFB1
HSP90AB1,TGFB1
NFE2L2,TGFB1
CREB1,RB1
E2F1,RB1
ATF2,RB1
BRCA1,RB1
GABP,RB1
PML,RB1
HDAC1,RB1
BCL6,RB1
CREB1,FOS
E2F1,FOS
STAT3,FOS
FOS,FOS
ATF2,FOS
STAT1,FOS
PARP1,FOS
STAT5A,FOS
NFE2L2,FOS
HDAC1,FOS
IKBKG,FOS
CREB1,CREB1
ARRB1,CREB1
AKT2,CREB1
DAXX,CREB1
CREB1,PLAT
ATF2,PLAT
RELA,PLAT
FOS,PLAT
NFKB1,SQSTM1
RELA,SQSTM1
NFE2L2,SQSTM1
FOS,SQSTM1
HIF1A,REL
NFKB1,REL
RELA,NFKB1
FOS,NFKB1
BRCA1,NFKB1
PARP1,NFKB1
PSMD4,NFKB1
HIF1A,NFKB1
ETS1,NFKB1
E2F1,NFKB1
HDAC1,NFKB1
ARRB1,NFKB1
FOS,CD44
NFKB1,CD44
ETS1,CD44
RELA,CD44
E2F1,CD44
E2F1,TK1
ETS1,PARP1
AKT2,PARP1
PARP1,PARP1
HDAC1,PARP1
CASP3,PARP1
CASP9,PARP1
NFE2L2,SOD1
RELA,SOD1
HDAC1,SOD1
CAV1,SOD1
PSMD4,SOD1
RELA,HDAC1
STAT3,HDAC1
CSNK2B,HDAC1
EZH2,HDAC1
RB1,HDAC1
STAT5A,HDAC1
MTA1,HDAC1
CCND1,HDAC1
DAXX,HDAC1
STAT3,LDHB
PPARD,LDHB
STAT3,CSNK2B
CSNK2B,CSNK2B
HSP90AB1,CSNK2B
ETS1,CSNK2B
PLAU,CSNK2B
ACTB,CSNK2B
FOS,KRT5
BRCA1,KRT5
FOS,TGFBR2
TGFB1,TGFBR2
HIF1A,ARNT
RELA,ARNT
BRCA1,ARNT
STAT5A,ARNT
PPARD,YWHAB
AKT2,YWHAB
SOD1,YWHAB
CSNK2B,ARAF
CSNK2B,NFE2L2
BRCA1,NFE2L2
NFE2L2,NFE2L2
AKT2,NFE2L2
EZH2,NFE2L2
PML,NFE2L2
CAV1,NFE2L2
RELA,NFE2L2
STAT1,S100A10
PARP1,PSMD4
